time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
27379.29167	375	0.531648
27379.33333	375	0.531648
27379.375	375	0.531648
27379.41667	375	0.531648
27379.45833	375	0.531648
27379.5	375	0.531648
27379.54167	375	0.531648
27379.58333	375	0.531648
27379.625	375	0.531648
27379.66667	375	0.531648
27379.70833	375	0.531648
27379.75	375	0.531648
27379.79167	375	0.531648
27379.83333	375	0.531648
27379.875	375	0.531648
27379.91667	375	0.531648
27379.95833	375	0.531648
27380	375	0.531648
27380.04167	375	0.531648
27380.08333	375	0.531648
27380.125	375	0.531648
27380.16667	375	0.531648
27380.20833	375	0.531648
27380.25	375	0.531648
27380.29167	375	0.531648
27380.33333	375	0.531648
27380.375	375	0.531648
27380.41667	375	0.531648
27380.45833	375	0.531648
27380.5	375	0.531648
27380.54167	375	0.531648
27380.58333	375	0.531648
27380.625	375	0.531648
27380.66667	375	0.531648
27380.70833	375	0.531648
27380.75	375	0.531648
27380.79167	375	0.531648
27380.83333	375	0.531648
27380.875	375	0.531648
27380.91667	375	0.531648
27380.95833	375	0.531648
27381	375	0.531648
27381.04167	375	0.531648
27381.08333	375	0.531648
27381.125	375	0.531648
27381.16667	375	0.531648
27381.20833	375	0.531648
27381.25	375	0.531648
27381.29167	375	0.531648
27381.33333	375	0.531648
27381.375	375	0.531648
27381.41667	375	0.531648
27381.45833	375	0.531648
27381.5	375	0.531648
27381.54167	375	0.531648
27381.58333	375	0.531648
27381.625	375	0.531648
27381.66667	375	0.531648
27381.70833	375	0.531648
27381.75	375	0.531648
27381.79167	375	0.531648
27381.83333	375	0.531648
27381.875	375	0.531648
27381.91667	375	0.531648
27381.95833	375	0.531648
27382	375	0.531648
27382.04167	375	0.531648
27382.08333	375	0.531648
27382.125	375	0.531648
27382.16667	375	0.531648
27382.20833	375	0.531648
27382.25	375	0.531648
27382.29167	375	0.531648
27382.33333	375	0.531648
27382.375	375	0.531648
27382.41667	375	0.531648
27382.45833	375	0.531648
27382.5	375	0.531648
27382.54167	375	0.531648
27382.58333	375	0.531648
27382.625	375	0.531648
27382.66667	375	0.531648
27382.70833	375	0.531648
